No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
1548	ProcseeBot	0	0	0	0	0	0	951155	0	2776	0	0	0	953931
1189	MZMcBride	805727	585	0	7283	950	422	171	118	189	0	2	0	815447
1372	NawlinWiki	220935	8559	17172	13746	44	1469	30157	590	2815	0	11	0	295498
563	East718	225963	1913	1	5648	1633	290	3477	985	15	0	32	0	239957
1314	Misza13	223291	280	0	284	22	2	4399	272	0	0	7	0	228557
645	Fastily	184062	2084	56	1042	2988	204	2259	36	129	0	427	0	193287
1819	Skier Dude	171290	2729	58	597	11	43	1023	1419	30	0	57	0	177257
1575	RHaworth	150069	4690	9	4085	64	10	4170	34	144	0	7	0	163282
624	Explicit	158781	1476	32	280	10	36	646	3	20	0	5	0	161289
501	DerHexer	134667	55	19	104	3	10	5904	51	5	0	29	0	140847
1257	Maxim	131768	1090	21	2540	280	591	2682	149	91	630	263	0	140105
424	Cydebot	123738	0	0	0	0	0	0	0	0	0	0	0	123738
148	Athaenara	112591	440	0	36	2	2	54	6	2	0	0	0	113133
568	Edgar181	69854	400	2175	865	27	42	32890	229	560	0	31	0	107073
1560	Quadell	100916	397	2	55	17	3	121	11	1	0	0	0	101523
751	Gogo Dodo	80819	215	781	1714	18	182	14697	45	627	0	3	0	99101
407	Courcelles	74589	1025	2358	5972	768	1174	3816	70	301	0	3630	2	93705
1242	Materialscientist	15279	231	268	4774	116	660	59438	102	1110	0	5	0	81983
1198	Magog the Ogre	73635	1423	81	138	15	34	479	67	59	0	72	0	76003
990	JohnCD	64131	1497	250	348	9	24	8406	65	179	0	17	0	74926
537	DragonflySixtyseven	60662	608	175	460	42	29	11447	235	288	0	310	0	74256
1174	MBisanz	62620	772	32	582	21	100	1999	117	30	5710	645	5	72633
961	Jimfbleak	61205	289	5	1063	64	12	4601	247	53	0	1	0	67540
64	Alexf	41331	244	646	597	12	107	24034	76	107	0	1	0	67155
30	Acroterion	54888	212	613	1241	25	95	5593	81	299	0	31	197	63275
1363	Nakon	39410	419	301	703	70	62	14737	6243	117	0	306	0	62368
1167	Luk	54639	227	20	628	27	131	4444	361	158	0	20	0	60655
1416	Nv8200p	59655	184	0	26	3	0	109	3	0	0	0	0	59980
42	After Midnight	52878	358	0	32	7	0	61	6	0	0	0	0	53342
1704	ST47	37727	4965	0	241	83	102	5576	2025	4	0	3	0	50726
1200	Mailer diablo	49352	255	36	163	16	4	415	33	4	0	1	0	50279
1074	Kimchi.sg	45414	791	1	565	120	22	2226	211	14	0	0	0	49364
1458	PMDrive1061	36379	509	133	2024	60	47	7020	227	810	0	12	0	47221
121	Anthony Appleyard	37495	8109	0	185	14	45	1	0	0	0	0	0	45849
304	Can't sleep, clown will eat me	9514	230	0	3000	125	133	32087	586	0	0	0	0	45675
1858	Sphilbrick	44581	845	78	6	1	3	107	2	2	0	5	0	45630
1532	Plastikspork	42188	1035	0	561	58	114	57	0	12	0	1	0	44026
1442	Orangemike	29304	242	7	859	37	29	12856	80	224	0	1	0	43639
