Per Capita GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 International Geary-Khamis dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1000,,1500,,1600,,1700,,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,,,,,,,,,,
Western Europe ,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria ,425,,425,,707,,837,,993,,"1,218",,,,,,,,,,"1,399",,,,,,,,,,"1,515",,,,,,,,,,"1,650",,,,,,,,,,"1,778",,,,,,,,,,"1,863","1,979","1,976","1,913","1,981","1,973","2,000","2,050","2,100","2,068","2,079","2,145","2,140","2,209","2,248","2,215","2,268","2,404","2,379","2,337","2,443","2,506","2,535","2,525","2,645","2,688","2,701","2,730","2,855","2,886","2,882","2,864","2,945","2,941","2,956","3,090","3,176","3,338","3,320","3,276","3,290","3,365","3,505","3,465","2,876","2,653","2,628","2,586","2,555","2,259","2,412","2,650","2,877","2,842","3,163","3,367","3,413","3,505","3,657","3,699","3,586","3,288","2,940","2,833","2,852","2,907","2,995","3,156","3,559","4,096","3,959","4,217","3,983","4,065","4,152","1,725","1,956","2,166","2,764","3,293","3,706","3,959","3,967","4,137","4,555","5,053","5,397","5,716","5,907","6,051","6,519","6,827","6,950","7,186","7,567","7,734","8,112","8,297","8,621","9,131","9,747","10,200","10,771","11,235","11,658","11,646","12,201","12,767","12,731","13,448","13,759","13,718","13,961","14,394","14,439","14,752","15,081","15,313","15,754","16,360","16,895","17,289","17,481","17,377","17,753","18,048","18,490","18,809","19,457","20,065","20,689","20,814","20,972","21,232",,,,,,,,,,
Belgium ,450,,425,,875,,976,,"1,144",,"1,319",,,,,,,,,,"1,354",,,,,,,,,,,,,,,,"1,694","1,762","1,754","1,790","1,847","1,886","1,924","1,962","2,070","2,071","2,170","2,211","2,212","2,197","2,293","2,310","2,354","2,404","2,466","2,448","2,503","2,497","2,569","2,663","2,692","2,682","2,824","2,820","2,890","2,861","2,875","2,884","2,942","2,945","3,065","3,070","3,136","3,145","3,136","3,138","3,153","3,250","3,247","3,379","3,428","3,395","3,442","3,455","3,468","3,512","3,551","3,586","3,615","3,656","3,731","3,719","3,739","3,772","3,821","3,882","3,917","3,932","3,933","3,971","4,064","4,148","4,206","4,220","3,923","3,858","4,080","3,519","2,861","3,389","3,962","4,056","4,413","4,533","4,638","4,666","4,784","4,923","5,139","5,054","4,979","4,860","4,607","4,681","4,624","4,894","4,913","4,961","4,832","5,150","4,562","4,358","3,997","3,907","4,112","4,333","4,574","4,800","5,024","5,193","5,462","5,747","5,668","5,818","6,029","6,280","6,422","6,495","6,442","6,608","6,952","7,253","7,583","7,862","8,341","8,559","8,776","9,072","9,416","10,018","10,611","10,970","11,503","12,170","12,643","12,441","13,122","13,190","13,554","13,861","14,467","14,279","14,474","14,474","14,833","14,977","15,195","15,541","16,252","16,744","17,197","17,451","17,645","17,406","17,902","18,270","18,439","19,015","19,347","19,907","20,619","20,779","21,050","21,205",,,,,,,,,,
Denmark ,400,,400,,738,,875,,"1,039",,"1,274","1,320","1,327","1,308","1,328","1,322","1,324","1,349","1,357","1,324","1,330","1,318","1,354","1,336","1,397","1,377","1,367","1,392","1,390","1,395","1,428","1,414","1,407","1,476","1,527","1,551","1,569","1,547","1,612","1,691","1,767","1,662","1,702","1,692","1,681","1,843","1,716","1,722","1,688","1,778","1,741","1,747","1,779","1,869","1,833","1,875","1,859","1,840","1,853","1,940","2,003","1,993","2,087","2,057","2,096","2,112","2,130","2,046","2,102","2,149","2,181","2,183","2,240","2,299","2,285","2,274","2,336","2,395","2,389","2,400","2,523","2,555","2,598","2,629","2,657","2,770","2,836","2,863","2,870","2,952","3,017","3,104","3,141","3,290","3,326","3,346","3,402","3,486","3,552","3,643","3,705","3,857","3,812","3,912","4,110","3,778","3,891","3,617","3,459","3,860","3,992","3,826","4,166","4,559","4,528","4,378","4,598","4,658","4,785","5,075","5,341","5,359","5,169","5,291","5,402","5,480","5,575","5,668","5,762","5,993","5,116","4,574","4,629","5,080","5,543","5,066","5,777","6,035","6,133","6,494","6,943","6,936","6,955","7,292","7,371","7,395","7,439","7,965","8,095","8,637","8,812","9,312","9,747","9,732","10,560","10,953","11,160","11,437","11,837","12,531","12,686","12,934","13,538","13,945","13,751","13,621","14,466","14,655","14,826","15,313","15,227","15,096","15,563","15,966","16,676","17,384","17,993","18,023","18,224","18,261","18,452","18,644","18,949","18,870","19,847","20,350","20,810","21,388","21,771","22,255","22,966","23,049","23,074","23,133",,,,,,,,,,
Finland ,400,,400,,453,,538,,638,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,,,,,,,959,958,896,958,969,951,958,886,"1,003","1,101","1,140","1,127","1,145","1,193","1,204","1,211","1,259","1,211","1,173","1,167","1,155","1,110","1,203","1,230","1,219","1,231","1,276","1,276","1,302","1,327","1,381","1,350","1,280","1,341","1,399","1,492","1,570","1,624","1,668","1,607","1,668","1,636","1,591","1,686","1,731","1,742","1,794","1,834","1,829","1,884","1,906","1,939","2,022","2,111","2,001","1,882","1,893","1,581","1,370","1,658","1,846","1,884","2,058","2,187","2,224","2,328","2,392","2,557","2,707","2,717","2,666","2,581","2,550","2,702","2,988","3,093","3,279","3,441","3,589","3,408","3,220","3,322","3,327","3,697","3,685","3,450","3,683","3,717","3,957","4,143","4,253","4,571","4,674","4,652","5,002","5,197","5,295","5,490","5,474","5,754","6,230","6,658","6,819","6,994","7,307","7,670","7,824","7,947","8,093","8,878","9,577","9,765","10,448","11,085","11,361","11,441","11,358","11,355","11,559","12,332","12,949","13,134","13,485","13,767","14,107","14,522","14,819","15,382","16,088","16,946","16,866","15,703","15,023","14,767","15,284","15,753","16,300","17,262","18,073","18,644","19,532","19,688","20,072","20,511",,,,,,,,,,
France,473,,425,,727,,841,,910,,"1,135","1,225","1,176","1,213","1,246","1,191","1,223","1,197","1,190","1,221","1,191","1,208","1,312","1,288","1,290","1,333","1,311","1,329","1,387","1,336","1,428","1,456","1,418","1,487","1,533","1,480","1,478","1,635","1,529","1,572","1,597","1,568","1,664","1,578","1,648","1,617","1,686","1,779","1,900","1,774","1,892","1,769","1,914","1,973","1,988","1,924","1,934","1,813","1,982","2,006","1,876","1,899","2,078","1,922","2,157","2,219","2,028","2,127","2,091","1,953","2,120","2,194","2,288","2,288","2,253","2,207","2,237","2,249","2,269","2,322","2,376","2,432","2,493","2,535","2,626","2,569","2,685","2,639","2,760","2,911","2,876","2,826","2,775","2,831","2,847","2,894","2,943","3,070","3,045","3,167","2,965","3,250","3,514","3,485","3,236","3,248","3,463","2,979","2,396","2,811","3,227","3,075","3,610","3,754","4,179","4,166","4,249","4,154","4,431","4,710","4,532","4,235","3,959","4,239","4,192","4,086","4,244","4,487","4,466","4,793","4,042","3,309","2,981","2,860","2,422","2,573","3,855","4,138","4,393","4,946","5,271","5,553","5,659","5,783","6,020","6,312","6,568","6,890","6,988","7,116","7,546","7,875","8,232","8,536","9,005","9,361","9,750","10,123","10,493","11,127","11,664","12,110","12,539","13,114","13,409","13,251","13,773","14,230","14,566","14,970","15,106","15,183","15,483","15,602","15,746","15,901","16,215","16,553","17,205","17,730","18,093","18,209","18,460","18,187","18,486","18,842","18,971","19,348","19,956","20,537","21,277","21,613","21,779","21,861",,,,,,,,,,
Germany ,408,,410,,688,,791,,910,,"1,077",,,,,,,,,,"1,328",,,,,,,,,,,,,,,,,,,,"1,428","1,408","1,426","1,413","1,443","1,420","1,531","1,594","1,574","1,565","1,639","1,583","1,645","1,749","1,780","1,770","1,771","1,766","1,861","1,860","1,839","1,817","1,931","1,999","2,124","2,112","2,071","2,033","2,103","2,029","1,991","2,025","2,044","2,143","2,178","2,216","2,211","2,275","2,341","2,379","2,428","2,397","2,469","2,565","2,598","2,686","2,740","2,775","2,848","2,905","2,985","2,871","2,893","3,008","3,083","3,104","3,152","3,245","3,254","3,275","3,348","3,408","3,524","3,648","3,059","2,899","2,935","2,952","2,983","2,586","2,796","3,078","3,331","2,750","3,199","3,532","3,605","3,941","4,090","4,051","3,973","3,652","3,362","3,556","3,858","4,120","4,451","4,685","4,994","5,406","5,403","5,711","5,740","5,890","6,084","4,514","2,217","2,436","2,834","3,282","3,881","4,206","4,553","4,905","5,247","5,797","6,177","6,492","6,737","7,177","7,705","7,952","8,222","8,386","8,822","9,186","9,388","9,397","9,864","10,440","10,839","11,077","11,481","11,966","12,063","12,041","12,684","13,072","13,455","13,993","14,114","14,149","14,040","14,329","14,783","15,140","15,469","15,701","16,160","16,558","15,929","16,650","16,891","16,645","17,028","17,299","17,420","17,709","18,065","18,417","18,982","19,196","19,191","19,144",,,,,,,,,,
Italy ,809,,450,,"1,100",,"1,100",,"1,100",,"1,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,350",,,,,,,,,,,"1,447","1,482","1,442","1,474","1,499","1,559","1,421","1,479","1,486","1,499","1,506","1,475","1,524","1,513","1,550","1,506","1,493","1,506","1,514","1,581","1,467","1,584","1,568","1,566","1,584","1,643","1,678","1,662","1,579","1,667","1,651","1,548","1,609","1,576","1,592","1,627","1,545","1,672","1,700","1,785","1,890","1,821","1,893","1,896","1,984","2,042","2,254","2,288","2,444","2,332","2,461","2,465","2,564","2,543","2,810","3,139","3,301","3,392","2,845","2,587","2,528","2,631","2,763","2,765","2,921","2,926","2,838","3,016","3,093","2,918","2,877","2,948","2,906","2,894","3,148","3,130","3,319","3,316","3,521","3,505","3,432","3,369","3,039","2,463","1,922","2,502","2,920","3,063","3,265","3,502","3,738","3,997","4,260","4,449","4,676","4,859","5,118","5,360","5,653","5,916","6,373","6,827","7,262","7,487","7,598","7,942","8,454","9,105","9,566","9,719","9,839","10,060","10,634","11,046","10,742","11,385","11,668","12,064","12,720","13,149","13,200","13,252","13,391","13,719","14,096","14,496","14,946","15,523","15,969","16,313","16,539","16,637","16,436","16,754","17,215","17,376","17,693","17,988","18,270","18,786","19,076","19,122","19,150",,,,,,,,,,
Netherlands ,425,,425,,761,,"1,381",,"2,130",,"1,838","1,885","1,874","1,931","1,969","1,938","1,928","2,001","2,079","2,104","2,013","1,997","2,116","2,140","2,124","2,131","2,165","2,223","2,262","2,273","2,283","2,305","2,289","2,241","2,231","2,234","2,228","2,237","2,261","2,314","2,371","2,410","2,413","2,373","2,421","2,455","2,470","2,496","2,440","2,364","2,377","2,397","2,413","2,481","2,553","2,605","2,656","2,660","2,621","2,672","2,757","2,734","2,771","2,853","2,727","2,880","2,890","2,927","2,991","2,778","3,046","3,074","3,117","3,305","3,328","3,362","3,374","3,467","3,544","3,502","3,323","3,224","3,240","3,236","3,273","3,334","3,166","3,436","3,460","3,465","3,424","3,440","3,543","3,562","3,535","3,594","3,669","3,622","3,577","3,660","3,789","3,888","3,955","4,049","3,868","3,926","3,956","3,627","3,352","4,122","4,220","4,431","4,599","4,635","4,895","5,031","5,358","5,504","5,720","5,689","5,603","5,185","5,035","4,956","4,805","4,929","5,190","5,433","5,250","5,544","4,831","4,531","4,107","3,981","2,649","2,686","4,457","5,048","5,490","5,880","5,996","6,032","6,084","6,543","6,907","7,326","7,499","7,614","7,482","7,737","8,287","8,202","8,639","8,832","9,437","9,798","9,936","10,341","10,894","11,462","11,967","12,319","12,597","13,081","13,497","13,374","13,885","14,177","14,424","14,647","14,705","14,525","14,291","14,483","14,900","15,283","15,617","15,737","16,044","16,695","17,262","17,520","17,747","17,765","18,055","18,510","18,988","19,620","20,350","21,025","21,609","21,768","21,642","21,479",,,,,,,,,,
