date,bases,open_access_bases,bytes,open_access_bytes
"06/05/2007",20304190150,20304190150,50496285115,50496285115
"04/04/2008",39753724527,39753724527,98607119768,98607119768
"04/05/2008",41358022149,41358022149,102589354285,102589354285
"04/09/2008",41807184131,41807184131,103726899525,103726899525
"04/15/2008",41932946619,41932946619,104033007663,104033007663
"04/17/2008",57328868847,57328868847,136712823344,136712823344
"04/18/2008",59828290459,59828290459,142451826864,142451826864
"04/19/2008",59994877055,59994877055,142799156166,142799156166
"04/21/2008",61795910116,61795910116,146701835903,146701835903
"04/23/2008",61874273517,61874273517,146892087814,146892087814
"04/25/2008",78286121880,78286121880,275996748095,275996748095
"04/26/2008",81230919552,81230919552,296638426880,296638426880
"04/28/2008",81594141246,81594141246,298980192404,298980192404
"04/29/2008",81656925854,81656925854,299138880703,299138880703
"04/30/2008",81787664683,81787664683,299464032491,299464032491
"05/07/2008",84012509923,84012509923,304744926589,304744926589
"05/09/2008",84110889495,84110889495,304983999986,304983999986
"05/10/2008",84155887254,84155887254,305097716676,305097716676
"05/14/2008",85056296734,85056296734,307290798418,307290798418
"05/16/2008",85379807692,85379807692,308090052575,308090052575
"05/19/2008",85447456902,85447456902,308260246658,308260246658
"05/23/2008",85474493057,85474493057,308326153845,308326153845
"06/02/2008",90922163010,90922163010,361542017350,361542017350
"06/03/2008",101806866062,101806866062,463450088667,463450088667
"06/18/2008",102073390408,102073390408,464026185996,464026185996
"06/23/2008",103666101826,103666101826,467539035630,467539035630
"06/24/2008",106388277271,106388277271,494520008517,494520008517
"06/26/2008",113711120958,113711120958,569917208086,569917208086
"06/27/2008",116348129850,116348129850,595027668016,595027668016
"07/01/2008",135553630094,135553630094,637422370919,637422370919
"07/03/2008",135821642391,135821642391,638006259403,638006259403
"07/08/2008",138508243090,138508243090,665880872804,665880872804
"07/10/2008",138674638215,138674638215,666302613045,666302613045
"07/11/2008",164408479965,164408479965,923177836581,923177836581
"07/12/2008",172661165561,172661165561,1006319148292,1006319148292
"07/14/2008",182875824029,182875824029,1041569867628,1041569867628
"07/15/2008",187866519869,187866519869,1053235854264,1053235854264
"07/16/2008",216930775457,216930775457,1118742206238,1118742206238
