TDFan2006	21 February 2014	WP:NOTNOW	Floquenbeam	(0/3/0)
Abir Rahman Saif	20 February 2014	WP:SNOW	Trevj	(0/1/0)
TwinTurbo	19 February 2014	WP:NOTNOW	Widr	(0/7/1)
Presbitow	16 February 2014	WP:NOTNOW	Tyrol5	(0/5/0)
MrScorch6200	15 February 2014	Withdrawn	MrScorch6200	(0/8/1)
Piotrus (3rd)	12 February 2014	Withdrawn	TParis	(35/43/10)
DavidLeighEllis	9 February 2014	Withdrawn	DavidLeighEllis	(0/4/0)
aeroplanepics0112	2 February 2014	Withdrawn	Aeroplanepics0112	(0/7/0)
Aharonz1	30 January 2014	Withdrawn by bureaucrat	WJBscribe	(0/5/0)
SarekOfVulcan (3rd)	27 January 2014	No consensus (bureaucrat discussion)	Xeno	(72/37/11)
Oanabay04	24 January 2014	WP:SNOW	Trevj	(5/20/10)
Rudra john cena	22 January 2014	WP:NOTNOW	Jamesx12345	(0/3/0)
Keithbob	22 January 2014	Withdrawn	Hahc21	(35/32/5)
Ængiølå	21 January 2014	WP:NOTNOW	Ktr101	(0/1/0)
Josve05a	11 January 2014	Withdrawn	John Cline	(0/8/3)
Sirkablaam	5 January 2014	WP:NOTNOW	Tom Morris	(2/21/3)
Sue Rangell	19 December 2013	Withdrawn by candidate	Sue Rangell	(4/20/6)
King jakob c 2	17 December 2013	Withdrawn by candidate	King jakob c 2	(7/9/7)
BigPimpinBrah	12 December 2013	Withdrawn by candidate	BigPimpinBrah	(3/23/3)
New Age Retro Hippie (3rd)	1 December 2013	Withdrawn by candidate	New Age Retro Hippie	(13/27/3)
Royroydeb	28 November 2013	WP:SNOW	Sven Manguard	(0/10/0)
TheAustinMan (2nd)	27 November 2013	Withdrawn by candidate	Sportsguy17	(28/27/2)
Jinkinson	19 November 2013	WP:SNOW	John Cline	(2/15/5)
Lugia2453	5 November 2013	No consensus (bureaucrat discussion)	Xeno	(52/23/4)
Mdann52	4 November 2013	Withdrawn by candidate	Mdann52	(22/20/9)
TCN7JM	30 October 2013	Withdrawn by candidate	AutomaticStrikeout	(32/29/8)
Prathamprakash29	25 October 2013	WP:NOTNOW	Wizardman	(0/7/0)
Ross Hill	10 October 2013	Withdrawn by candidate	Ross Hill	(0/5/1)
Ginsuloft	28 September 2013	Unsuccessful	Marcus Qwertyus	(21/23/17)
Wikid77	28 September 2013	WP:SNOW	Marcus Qwertyus	(4/21/6)
camerontregan	7 September 2013	Withdrawn by candidate	SilkTork	(0/6/3)
Rcsprinter123 (2nd)	1 September 2013	WP:SNOW	Marcus Qwertyus	(10/25/11)
KumiokoCleanStart (2nd)	27 August 2013	Withdrawn by candidate	John Cline	(4/12/2)
Auric	16 August 2013	Withdrawn by candidate	Hahc21	(11/24/6)
Buster7	13 August 2013	Withdrawn by candidate	WJBscribe	(56/33/6)
বিজয় চক্রবর্তী	7 August 2013	WP:NOTNOW	Marcus Qwertyus	(0/6/2)
Incnis Mrsi	7 August 2013	Withdrawn by candidate	Incnis Mrsi	(4/33/6)
AutomaticStrikeout (2nd)	3 August 2013	Withdrawn by candidate	Juliancolton	(5/16/7)
Chinnz	14 July 2013	WP:NOTNOW	Scott Martin	(0/2/0)
yougo1000	25 June 2013	WP:NOTNOW	Boing! said Zebedee	(0/7/0)
AppleJack-7	3 June 2013	WP:SNOW	Chaser	(0/9/2)
KumiokoCleanStart	17 May 2013	Withdrawn by candidate	28bytes	(14/46/24)
Pjoef	6 May 2013	Withdrawn by candidate	My76Strat	(19/43/17)
Piotrus (2nd)	2 May 2013	Unsuccessful	WJBscribe	(46/66/14)
angelo1345	9 April 2013	WP:SNOW	Reaper Eternal	(0/6/0)
Binksternet	20 March 2013	Consensus not reached	28bytes	(84/46/20)
Jasper Deng	9 March 2013	Withdrawn by candidate	Hahc21	(30/28/9)
TortoiseWrath	7 March 2013	WP:SNOW	Soap	(1/5/0)
Theopolisme (2nd)	2 March 2013	No consensus	Maxim	(80/27/10)
Vacation9	1 March 2013	Withdrawn by candidate	TheGeneralUser	(8/18/7)
Banaticus	27 February 2013	No consensus demonstrated	Avi	(28/26/16)
Satellizer	24 February 2013	Withdrawn by candidate	Vacation9	(5/3/1)
DCI2026	23 February 2013	Withdrawn by candidate	KTC	(7/10/2)
Dirtlawyer1	12 February 2013	Unsuccessful	MBisanz	(92/45/2)
Hahc21 (2nd)	11 February 2013	Withdrawn by candidate	28bytes	(8/13/1)
Carrite	9 February 2013	Withdrawn by candidate	WilliamH	(82/52/13)
Darkness Shines	30 December 2012	SNOW	MBisanz	(0/13/1)
Anbu121	25 December 2012	Withdrawn by candidate	The Anonymouse	(17/20/2)
Ktr101 (5th)	25 December 2012	Withdrawn by candidate	IceUnshattered	(46/21/2)
Sk8terguy27	22 December 2012	Closed per NOTNOW	Mephistophelian	(0/2/0)
Karthikndr	12 December 2012	Withdrawn by candidate	KTC	(10/9/1)
LuK3	4 December 2012	Withdrawn by candidate	Hahc21	(29/25/8)
Apteva (2nd)	30 November 2012	WP:SNOW	AutomaticStrikeout	(2/27/1)
My76Strat (4th)	28 November 2012	Withdrawn by candidate	My76Strat	(15/28/2)
MONGO (3rd)	21 November 2012	Withdrawn by candidate	Phantomsteve	(4/31/2)
XyphynX9	19 November 2012	SNOW/NOTNOW	AutomaticStrikeout	(0/8/0)
Northamerica1000	13 November 2012	Consensus not reached	28bytes	(37/54/23)
Mapalazoo	31 October 2012	WP:NOTNOW	Cyberpower678	(0/10/0)
QuiteUnusual	24 October 2012	Consensus not reached	The Rambling Man	(85/37/6)
Raghusri	24 October 2012	WP:SNOW	Legoktm	(1/11/0)
PumpkinSky	23 October 2012	Withdrawn by candidate	Ryan Vesey	(59/32/7)
Gigs	21 October 2012	Withdrawn by candidate	Salvio giuliano	(35/29/9)
Farrtj	18 October 2012	WP:SNOW	TheSpecialUser	(0/6/4)
AutomaticStrikeout	16 October 2012	Withdrawn by candidate	Σ	(18/26/20)
Σ	9 October 2012	Consensus not reached	28bytes	(140/65/18)
Rcsprinter123	1 September 2012	WP:SNOW	Steven Zhang	(5/24/8)
Floydian (2nd)	21 August 2012	Withdrawn by candidate	Gfoley4	(23/30/9)
Theopolisme	18 August 2012	Unsuccessful	WilliamH	(31/25/18)
Kumioko (2nd)	16 August 2012	No consensus	Useight	(28/46/16)
Mlpearc	12 August 2012	No consensus	Pakaran	(82/30/8)
PerryThePlatypusFan	10 August 2012	WP:NOTNOW	TheSpecialUser	(0/7/0)
Master&Expert	7 August 2012	Withdrawn by candidate	28bytes	(39/43/20)
Penyulap	24 July 2012	WP:SNOW	SilkTork	(3/24/1)
Hahc21	8 July 2012	Withdrawn by candidate	WilliamH	(7/21/6)
Ryan Vesey	7 July 2012	Unsuccessful	Anonymous Dissident	(117/48/11)
SwisterTwister	2 July 2012	Unsuccessful	WilliamH	(68/35/11)
WinEuro	1 July 2012	WP:SNOW	Ktr101	(0/3/0)
My76Strat (3rd)	27 June 2012	Withdrawn by candidate	TParis	(19/33/7)
Marcus Qwertyus (2nd)	24 June 2012	Unsuccessful	WJBscribe	(21/29/13)
History2007	18 June 2012	Withdrawn by candidate	TheSpecialUser	(37/27/2)
The Determinator	15 June 2012	SNOW/NOTNOW	WilliamH	(1/17/0)
Lord Roem	14 June 2012	Withdrawn by candidate	Ktr101	(81/37/6)
Avicennasis	28 May 2012	Unsuccessful	WilliamH	(67/34/6)
Dannyboy1209 (2nd)	23 May 2012	Withdrawn by bureaucrat	WilliamH	(0/2/0)
Vibhijain	21 May 2012	Withdrawn by candidate	Vibhijain	(16/27/4)
