Date  Debt Held by the Public	Intragovernmental Holdings	Total Public Debt Outstanding
12/29/2000	NA	NA	5662216013697.37
01/02/2001	NA	NA	5728739508558.96
01/03/2001	NA	NA	5723237439563.59
01/04/2001	NA	NA	5719452925490.54
01/05/2001	NA	NA	5722338254319.31
01/09/2001	NA	NA	5725066298944.04
01/10/2001	NA	NA	5724315917828.49
01/11/2001	NA	NA	5734110648665.41
01/12/2001	NA	NA	5735197779458.19
01/16/2001	NA	NA	5711790291567.40
01/17/2001	NA	NA	5718517343351.92
01/18/2001	NA	NA	5725695166475.90
01/19/2001	NA	NA	5727776738304.64
01/22/2001	NA	NA	5728195796181.57
01/23/2001	NA	NA	5732723749861.27
01/24/2001	NA	NA	5732255355204.69
01/25/2001	NA	NA	5739320332063.05
01/26/2001	NA	NA	5740435844198.00
01/29/2001	NA	NA	5739059297122.31
01/30/2001	NA	NA	5740291126546.45
01/31/2001	NA	NA	5716070587057.36
02/01/2001	NA	NA	5703346472448.65
02/02/2001	NA	NA	5692920049098.18
02/05/2001	NA	NA	5692234596517.07
02/06/2001	NA	NA	5696112552640.62
02/07/2001	NA	NA	5694062535040.67
02/08/2001	NA	NA	5697248248419.78
02/09/2001	NA	NA	5698504013467.32
02/12/2001	NA	NA	5699501406898.13
02/13/2001	NA	NA	5702465484866.60
02/14/2001	NA	NA	5700887675778.04
02/15/2001	NA	NA	5712465542248.62
02/16/2001	NA	NA	5713324669859.74
02/20/2001	NA	NA	5719124940098.04
02/21/2001	NA	NA	5720449734370.04
02/22/2001	NA	NA	5724785875504.11
02/23/2001	NA	NA	5725592790784.57
02/26/2001	NA	NA	5726224651481.74
02/27/2001	NA	NA	5726968823821.55
02/28/2001	NA	NA	5735859380573.98
03/01/2001	NA	NA	5726774439028.95
03/02/2001	NA	NA	5742769797856.70
03/05/2001	NA	NA	5743401716650.84
03/06/2001	NA	NA	5749734337611.83
03/07/2001	NA	NA	5747491094329.69
03/08/2001	NA	NA	5747550277632.42
03/09/2001	NA	NA	5747792825182.88
03/12/2001	NA	NA	5748756736296.21
03/13/2001	NA	NA	5752122226353.86
03/14/2001	NA	NA	5750555317104.73
03/15/2001	NA	NA	5724494097883.09
03/16/2001	NA	NA	5725427309171.06
03/19/2001	NA	NA	5729611586294.55
03/20/2001	NA	NA	5732596852845.50
03/21/2001	NA	NA	5731169100580.51
03/22/2001	NA	NA	5732049780656.46
03/23/2001	NA	NA	5734215116583.82
03/26/2001	NA	NA	5733895076837.79
03/27/2001	NA	NA	5736074141495.08
03/28/2001	NA	NA	5734570704080.99
03/29/2001	NA	NA	5770774722962.15
03/30/2001	NA	NA	5773739949951.53
04/02/2001	NA	NA	5745399258826.83
04/03/2001	NA	NA	5776367926942.46
04/04/2001	NA	NA	5777864856329.85
04/05/2001	NA	NA	5772523327634.26
