User	RfAvotes	Supports	Opposes	Neutrals	Editcount	Firstedit	Admin
AGK	16	14	2	0	28858	February_27,_2006	Yes
Roux	7	5	2	0	21832	April_29,_2008	No
QuiteUnusual	1	0	1	0	6566	August_2,_2006	No
Mifter	5	5	0	0	15912	February_4,_2008	Yes
SpiderJon	1	1	0	0	1275	May_2,_2006	No
Passionless	1	0	1	0	3397	February_19,_2010	No
Wiooiw	42	41	0	1	2317	May_10,_2010	No
DarkFalls	23	12	11	0	23445	October_26,_2006	Yes
Soap	50	41	3	6	18824	January_8,_2006	Yes
Struway2	1	0	1	0	26835	July_1,_2007	No
Hell_in_a_Bucket	2	2	0	0	10794	April_8,_2009	No
Ron_Ritzman	2	1	1	0	52980	January_8,_2005	Yes
Ks0stm	2	1	0	1	6739	May_29,_2007	No
Ctjf83	7	2	3	2	42114	August_6,_2006	No
Sky_Harbor	1	1	0	0	9483	April_7,_2005	Yes
RL0919	6	5	1	0	16999	July_10,_2005	Yes
Malinaccier	10	9	1	0	14308	January_9,_2007	Yes
TBloemink	1	1	0	0	1541	October_8,_2010	No
Moabdave	3	3	0	0	7787	January_16,_2006	Yes
FerricMix	1	1	0	0	152	April_28,_2010	No
SilkTork	32	16	15	1	46325	January_12,_2006	Yes
Marcus_Qwertyus	3	2	0	1	20501	December_21,_2008	No
Jonkerz	1	1	0	0	11889	November_25,_2009	No
Dylan620	5	3	1	1	13017	September_15,_2007	No
Carcharoth	1	1	0	0	57728	January_8,_2005	Yes
Belovedfreak	11	1	8	2	68683	November_7,_2006	No
Weaponbb7	2	1	1	0	4369	August_15,_2006	No
BrownHairedGirl	16	7	7	2	239412	January_8,_2006	Yes
MastCell	7	6	1	0	31539	August_1,_2006	Yes
Mikemoral	2	2	0	0	6648	April_3,_2007	No
Mike_R	1	1	0	0	8337	April_18,_2004	No
John_Carter	1	1	0	0	148444	January_26,_2007	Yes
Herbythyme	1	1	0	0	6737	October_7,_2006	No
Gtdp	4	2	2	0	1967	August_5,_2005	No
Livitup	1	1	0	0	2242	August_13,_2005	No
Theda	3	2	1	0	23368	August_8,_2005	Yes
Pink_Bull	20	15	2	3	6177	May_13,_2009	No
Mountlovcen8	1	1	0	0	249	November_19,_2009	No
